   CH4(S1) => CH3(S1) + H(S2)
Arrhenius parameters A, B, E:    3.711e+06    0.21  100.494
  T/K     k_calc(s-1)      k_fit(s-1)       f_unc       uncertainty(%)
 4320.0   1.35e+06         1.35e+06      1.7113e+00            71.1
 4330.0   1.36e+06         1.36e+06      1.7092e+00            70.9
 4340.0   1.37e+06         1.37e+06      1.7071e+00            70.7
 4350.0   1.38e+06         1.38e+06      1.7050e+00            70.5
 4360.0   1.38e+06         1.39e+06      1.7029e+00            70.3
 4370.0   1.39e+06         1.40e+06      1.7008e+00            70.1
 4380.0   1.40e+06         1.41e+06      1.6987e+00            69.9
 4390.0   1.41e+06         1.42e+06      1.6967e+00            69.7
 4400.0   1.42e+06         1.43e+06      1.6947e+00            69.5
 4410.0   1.43e+06         1.44e+06      1.6926e+00            69.3
 4420.0   1.44e+06         1.45e+06      1.6906e+00            69.1
 4430.0   1.45e+06         1.46e+06      1.6886e+00            68.9
 4440.0   1.46e+06         1.47e+06      1.6866e+00            68.7
 4450.0   1.47e+06         1.48e+06      1.6846e+00            68.5
 4460.0   1.48e+06         1.49e+06      1.6827e+00            68.3
 4470.0   1.49e+06         1.50e+06      1.6807e+00            68.1
 4480.0   1.50e+06         1.50e+06      1.6788e+00            67.9
 4490.0   1.51e+06         1.51e+06      1.6768e+00            67.7
 4500.0   1.52e+06         1.52e+06      1.6749e+00            67.5
 4510.0   1.53e+06         1.53e+06      1.6730e+00            67.3
 4520.0   1.54e+06         1.54e+06      1.6711e+00            67.1
 4530.0   1.55e+06         1.55e+06      1.6692e+00            66.9
 4540.0   1.56e+06         1.56e+06      1.6673e+00            66.7
 4550.0   1.57e+06         1.57e+06      1.6654e+00            66.5
 4560.0   1.57e+06         1.58e+06      1.6636e+00            66.4
 4570.0   1.58e+06         1.59e+06      1.6617e+00            66.2
 4580.0   1.59e+06         1.60e+06      1.6599e+00            66.0
 4590.0   1.60e+06         1.61e+06      1.6581e+00            65.8
 4600.0   1.61e+06         1.62e+06      1.6562e+00            65.6
 4610.0   1.62e+06         1.63e+06      1.6544e+00            65.4
 4620.0   1.63e+06         1.64e+06      1.6526e+00            65.3
 4630.0   1.64e+06         1.65e+06      1.6508e+00            65.1
 4640.0   1.65e+06         1.66e+06      1.6490e+00            64.9
 4650.0   1.66e+06         1.67e+06      1.6473e+00            64.7
 4660.0   1.67e+06         1.68e+06      1.6455e+00            64.6
 4670.0   1.68e+06         1.69e+06      1.6438e+00            64.4
 4680.0   1.69e+06         1.70e+06      1.6420e+00            64.2
